mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -10.6876; 1.53946; 59; -0.430108; [10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, -0, ]; -10.6667; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.25; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.9227; 1.75868; 60; -8.36735; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.8333; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ]; -23.7931; [10, 10, 10, -10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 0, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.7668; 1.19609; 61; -8.36735; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.8511; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.3902; [10, 10, 10, 10, 0, 10, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.829; 1.63465; 62; -8.30189; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.6522; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -22.3333; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, -10, 0, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.7632; 1.83429; 63; -8.46154; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.4348; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -25.7143; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, -10, 0, 10, 10, 0, ];
0; 0; 0.9; -11.0724; 2.41789; 64; -8.6; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.6383; [10, 10, 10, 10, 0, 10, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -30; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, -10, 0, ];
0; 0; 0.9; -10.86; 1.1219; 65; -8.49057; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.8333; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -13.8095; [10, 10, 10, 10, 0, 10, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.7804; 1.14576; 66; -8.43137; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.6522; [10, 10, 10, 10, 0, 10, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.25; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.9153; 1.27883; 67; -8.33333; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.8511; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -15.5556; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.705; 1.18015; 68; -8.43137; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.4348; [10, 10, 10, 10, 0, 10, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.6154; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.7236; 1.08445; 69; -7.8; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.6383; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -14.6154; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ];
0; 0; 0.9; -10.8231; 1.12043; 70; -7.8; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -10.8511; [10, 10, 10, 10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, ]; -13.6585; [10, 10, 10, 10, 0, 10, 10, -10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 0, 10, 10, 0, ];
