mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 8; 0.9; -431.46; 1375.78; 62; -57.0695; [4.0479, 3.91914, 6.78307, -12.2763, 5.08065, 2.08223, 8.623, -6.32071, -14.1901, -10.6026, -18.6708, 7.55765, -4.19262, 12.7657, -0.930999, -13.2922, -1.96674, -13.7283, 13.8144, -6.49763, -7.29653, ]; -77.5107; [-6.87462, -1.46573, -1.87131, -12.2763, 5.08065, -13.5789, 8.623, -6.32071, -14.1901, 8.92373, -3.16035, 3.55165, -5.11229, -1.82475, -5.13949, -8.11667, 13.1241, -13.7283, 3.79829, -6.49763, -7.29653, ]; -11858.4; [12.9745, -2.31247, 14.6074, -1.59848, -1.10738, -0.0268614, 3.97177, 4.67348, -5.50473, -1.24242, 14.1649, -7.84467, 0.913919, 2.78828, 3.15242, 4.8974, 3.93341, 4.07224, 10.8064, 2.11383, -9.9744, ];
0; 8; 0.9; -407.757; 1252.49; 63; -55.545; [11.6096, 3.91914, -1.87131, -12.2763, 7.20141, -13.5789, 5.5482, 7.79918, -14.1901, 8.92373, 2.09851, 3.55165, -5.11229, -1.82475, -10.8752, -1.59077, 13.1241, -13.7283, -10.5874, -6.49763, -7.29653, ]; -75.5754; [-6.87462, -10.1221, 6.78307, -12.2763, 7.20141, -7.7882, -9.89534, -6.32071, -14.1901, 14.0102, 3.61294, 4.14557, -5.11229, -1.82475, -8.42015, -8.11667, 8.20173, 4.8834, -10.5874, -6.49763, -7.29653, ]; -10161; [-2.2549, 3.22842, 3.7336, -5.51162, 4.8718, -2.44076, -1.8624, 3.34719, 9.55946, -3.37074, 2.51165, 0.331878, 13.1497, -10.0454, 1.3873, -0.285015, 8.38015, 5.43849, -12.9908, 6.21139, -2.0421, ];
0; 8; 0.9; -346.398; 1008.27; 64; -57.0695; [4.0479, 3.91914, 6.78307, -12.2763, 5.08065, 2.08223, 8.623, -6.32071, -14.1901, -10.6026, -18.6708, 7.55765, -4.19262, 12.7657, -0.930999, -13.2922, -1.96674, -13.7283, 13.8144, -6.49763, -7.29653, ]; -76.6014; [4.0479, -4.76889, 6.78307, -12.2763, 7.20141, -4.7197, -9.89534, 7.79918, -14.1901, 14.0102, 2.09851, -6.55839, -5.64506, -1.82475, -10.8752, -8.11667, 3.12483, -13.7283, -10.5874, 9.21347, -7.29653, ]; -6284.9; [4.03981, 4.48934, -8.97876, 0.224501, 7.434, 3.27429, -3.65197, 3.68458, 7.87974, 9.71384, 3.42315, 5.04193, 0.840084, -7.62812, 14.8309, 1.64967, 5.49736, 7.85685, -2.81269, -2.63584, -4.81172, ];
0; 8; 0.9; -277.878; 722.339; 65; -49.6169; [-6.87462, -1.46573, -10.4593, -0.198221, -2.3972, -13.5789, 5.5482, -1.08944, -14.1901, 8.92373, 2.09851, 4.14557, -5.11229, -1.82475, -10.8752, 2.32245, -0.103708, -13.7283, 3.79829, -6.49763, -7.29653, ]; -74.5706; [-6.87462, -4.76889, 6.78307, -12.2763, 7.20141, -4.7197, 0.394476, 16.4509, -14.1901, -10.6026, -3.16035, 4.14557, -5.11229, -9.6404, -10.8752, -13.2922, 13.1241, -13.7283, -0.784564, -6.49763, -7.29653, ]; -6148.12; [-6.87462, -1.46573, -10.4593, -12.2763, 2.82097, -4.7197, 5.5482, 16.4509, -12.7139, -10.6026, -3.16035, -15.2125, -5.64506, -1.82475, -5.13949, 2.24613, 13.1241, -13.7283, -10.5874, -6.49763, 7.15419, ];
0; 8; 0.9; -334.26; 984.502; 66; -45.6926; [-6.87462, 3.91914, 6.78307, -1.93634, -7.6456, -4.7197, -9.89534, -6.32071, -14.1901, 9.71332, -3.16035, 3.55165, -5.11229, 10.1497, -10.8752, 2.24613, 3.12483, -13.7283, -10.5874, -6.49763, -7.29653, ]; -74.4085; [-6.87462, -1.46573, 6.78307, 12.6949, -7.6456, -13.5789, 8.623, 16.4509, -14.1901, -12.443, -3.16035, 3.41845, -5.11229, 3.18291, -10.8752, 2.24613, 3.12483, -13.7283, -8.2167, 9.21347, -7.29653, ]; -8088.79; [-1.2603, -2.48247, 10.5827, 1.05483, 1.17102, -23.5645, 7.33278, 8.17286, 6.99832, -1.26433, 1.31388, -2.45711, 7.2728, -3.80054, -0.505277, -8.02413, -1.66123, -3.21355, -10.1532, -1.39469, 5.15196, ];
0; 8; 0.9; -297.912; 814.174; 67; -45.6926; [-6.87462, 3.91914, 6.78307, -1.93634, -7.6456, -4.7197, -9.89534, -6.32071, -14.1901, 9.71332, -3.16035, 3.55165, -5.11229, 10.1497, -10.8752, 2.24613, 3.12483, -13.7283, -10.5874, -6.49763, -7.29653, ]; -74.7648; [4.0479, -1.46573, -10.4593, -12.2763, -2.3972, -4.7197, 5.5482, -8.99172, -14.1901, 3.97601, 9.97632, -15.2125, -5.11229, -1.82475, -5.13949, 2.24613, 13.1241, -9.24368, 3.79829, -7.78626, 7.15419, ]; -6146.99; [-6.87462, 3.91914, -10.4593, -0.198221, 7.20141, -4.7197, -9.89534, -6.32071, -14.1901, -10.6026, -5.27629, -3.9601, -11.5445, -9.6404, -8.14741, -13.2922, 3.12483, -13.7283, -7.58351, -6.49763, -4.16735, ];
0; 8; 0.9; -406.691; 1626.36; 68; -45.6926; [-6.87462, 3.91914, 6.78307, -1.93634, -7.6456, -4.7197, -9.89534, -6.32071, -14.1901, 9.71332, -3.16035, 3.55165, -5.11229, 10.1497, -10.8752, 2.24613, 3.12483, -13.7283, -10.5874, -6.49763, -7.29653, ]; -78.1107; [-6.87462, -1.46573, -10.4593, -0.198221, -2.3972, -4.7197, 5.5482, -6.32071, -14.1901, 3.97601, 9.97632, 4.14557, -5.11229, -9.6404, -0.930999, -13.2922, 13.1241, -13.7283, -10.5874, -7.78626, -7.29653, ]; -15556.5; [-6.87462, -1.46573, -10.4593, -0.198221, -2.3972, -13.5789, 5.5482, -6.32071, -14.1901, 3.97601, 9.97632, 4.14557, -5.11229, -9.6404, -0.930999, -13.2922, 3.12483, -13.7283, -10.5874, -7.78626, -7.29653, ];
0; 8; 0.9; -287.264; 766.918; 69; -47.8822; [-6.87462, 3.91914, -10.4593, 12.6949, 2.82097, -13.5789, 0.394476, 7.79918, -14.1901, 8.92373, 2.09851, 4.14557, -5.11229, -1.82475, -5.13949, 12.2621, 8.42536, -13.7283, -10.5874, 9.21347, -7.29653, ]; -75.0605; [-6.87462, 3.91914, 6.78307, -12.2763, 2.82097, -4.7197, 5.5482, 16.4509, -14.1901, -10.6026, 9.97632, 3.41845, -5.11229, -1.82475, -5.13949, 2.24613, 8.42536, -13.7283, -8.2167, -6.49763, -7.29653, ]; -6735.58; [0.900264, 0.838164, -16.4439, -5.35123, 5.27565, -1.34064, 4.741, -8.33886, 2.61077, 4.91205, 3.40303, -4.68059, 12.6053, -2.46111, 4.30373, 12.2899, -1.82688, 7.27906, 12.7578, 5.01175, -10.803, ];
0; 8; 0.9; -884.811; 3711.44; 70; -47.8822; [-6.87462, 3.91914, -10.4593, 12.6949, 2.82097, -13.5789, 0.394476, 7.79918, -14.1901, 8.92373, 2.09851, 4.14557, -5.11229, -1.82475, -5.13949, 12.2621, 8.42536, -13.7283, -10.5874, 9.21347, -7.29653, ]; -74.8394; [-6.87462, -1.46573, -11.197, -1.93634, -2.3972, 2.29953, 5.5482, 16.4509, -14.1901, -10.6026, -3.16035, -6.55839, -5.64506, -1.82475, -5.13949, 2.24613, -0.103708, -13.7283, 10.5476, -6.49763, -1.55357, ]; -30243.2; [-6.87462, -1.46573, -11.197, -0.198221, -2.3972, 2.29953, 5.5482, 7.79918, -14.1901, -12.443, -3.16035, -1.68025, -5.11229, -1.82475, -5.13949, 2.24613, 8.42536, -13.7283, -8.2167, -6.49763, -7.29653, ];
0; 8; 0.9; -702.575; 2027.89; 71; -47.8822; [-6.87462, 3.91914, -10.4593, 12.6949, 2.82097, -13.5789, 0.394476, 7.79918, -14.1901, 8.92373, 2.09851, 4.14557, -5.11229, -1.82475, -5.13949, 12.2621, 8.42536, -13.7283, -10.5874, 9.21347, -7.29653, ]; -77.1896; [1.34233, 3.91914, 6.78307, -1.93634, 2.82097, -13.5789, 5.5482, -6.32071, -14.1901, -5.05191, -3.16035, 3.41845, 0.342306, 10.1497, -0.0141687, 2.24613, 8.42536, -13.7283, 4.93847, -6.49763, -4.16735, ]; -10076; [-6.19382, 8.11427, -2.1519, -3.8392, -1.97904, -0.843467, 5.54107, 12.0045, -2.79136, 5.97303, -0.680605, -8.59547, 1.07291, 5.31907, -7.02018, -19.5392, 4.14791, -6.69176, 7.0515, -0.296933, 3.69616, ];
