E(fitness); sigma(fitness); Generation; fitness1; Genes(Scores(0,1),:); fitness50; Genes(Scores(49,1),:); fitness100; Genes(Scores(99,1),:);
-118.812; 176.002; 53; -46.5056; [-6.88702, 1.55884, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.33259, -5.21617, 2.19613, -11.3725, 12.9678, -6.88778, 3.48322, -8.79818, 4.21196, -5.86875, 21.8592, -7.91617, -9.67249, 3.33532, ]; -52.2497; -6.88702, -1.55884, -12.1329, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -6.88778, -10.5726, -8.79818, 4.00374, 9.40179, -1.45736, -7.91617, -9.92329, 3.33532, ]; -1083.92; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, 7.01135, -2.29767, -11.3725, 6.69466, -6.88778, -10.5726, -8.79818, 4.00374, -5.86875, -12.3149, -7.91617, -9.67249, 3.33532, ];
-87.9313; 144.574; 54; -46.4504; [-6.88702, -13.5234, -11.6466, -10.7048, -8.5997, -5.86837, -3.61448, -5.33259, -5.21617, 2.84119, -11.3725, 6.69466, -15.3171, -10.5726, -16.8671, 4.21196, -5.86875, -1.4205, 0.849833, -9.67249, 15.738, ]; -52.2316; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -16.8671, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ]; -1350.55; 16.7539, -1.55884, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, -5.33259, -5.21617, 2.19613, -11.3725, -10.6655, -12.8201, -4.28978, -8.79818, 4.00374, -1.21995, -1.4205, -8.32292, -9.67249, 3.33532, ];
-140.043; 510.847; 55; -43.4598; [5.74565, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -3.00548, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, 21.8592, 5.04279, -9.92329, 15.738, ]; -52.2316; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -16.8671, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ]; -5069.83; -6.88702, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -3.1875, -5.33259, 10.5905, -2.29767, -11.3725, 12.9678, -15.3171, -1.94341, -8.79818, 4.00374, 9.40179, -1.7675, -8.32292, -9.92329, 15.738, ];
-292.473; 1161.36; 56; -43.4598; [5.74565, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -3.00548, 12.9678, -6.88778, -4.28978, -16.8671, 4.00374, -5.86875, 21.8592, 5.04279, -9.92329, 15.738, ]; -52.3051; 5.74565, -1.55884, -12.1329, -10.7048, -8.5997, 0.788486, -7.61364, -5.7627, 10.5905, -2.29767, -2.95742, 12.9678, -15.3171, -4.28978, -8.79818, 4.00374, -5.86875, -1.4205, -8.32292, -9.67249, 15.738, ]; -8789.18; 5.74565, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.7627, 7.01135, -2.29767, -11.3725, 6.69466, -15.3171, 3.48322, -8.79818, 4.00374, 9.40179, -12.3149, -7.91617, -9.67249, 15.738, ];
-186.711; 698.582; 57; -46.0888; [-6.88702, -13.5234, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.33259, 10.5905, -2.29767, -11.3725, 6.69466, -6.88778, 3.48322, -8.79818, 4.00374, 12.8742, -12.3149, -8.32292, -9.92329, 3.33532, ]; -51.2307; -6.88702, -1.55884, -10.4399, -10.7048, -17.06, 0.788486, -7.61364, -5.7627, 7.01135, -2.29767, -11.3725, 6.69466, -6.88778, -10.5726, -16.8671, 4.00374, -5.86875, -12.3149, -8.32292, -9.92329, 15.738, ]; -6124.72; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.7627, 7.01135, 2.84119, -11.3725, 6.69466, -6.88778, 3.48322, -8.79818, 4.21196, -5.86875, -12.3149, 0.849833, -9.67249, 15.738, ];
-123.293; 257.241; 58; -44.5972; [5.74565, -6.45475, -10.4399, -10.7048, -17.06, -5.86837, -3.1875, -5.7627, -3.17822, -2.29767, -11.3725, 12.9678, -15.3171, 3.48322, -8.79818, 4.21196, 12.8742, -12.3149, 0.849833, -9.92329, 1.18072, ]; -52.8648; 5.74565, -13.5234, -11.6466, -10.7048, -17.06, -5.86837, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, 3.48322, -16.8671, 4.21196, 12.8742, -12.3149, -8.32292, -9.92329, 15.738, ]; -1670.12; 5.74565, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, 6.03201, -5.33259, -5.21617, 2.19613, -11.3725, 12.9678, -6.88778, 3.48322, -16.8671, 4.00374, -5.86875, -1.45736, -7.91617, -9.92329, 15.738, ];
-408.203; 2283.68; 59; -42.3383; [7.72089, 5.94369, -10.4399, -11.7405, -4.84411, 0.788486, -7.61364, -17.5419, -5.21617, -12.7962, -17.4384, 4.02664, -6.88778, -1.94341, 2.81466, -5.51456, 12.8742, 3.64401, 5.04279, -9.92329, 1.18072, ]; -52.4455; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -7.61364, -5.7627, 7.01135, -2.29767, -11.3725, 6.69466, -6.88778, 3.48322, -8.79818, 4.00374, -5.86875, -1.4205, 0.849833, -9.92329, 3.33532, ]; -21850.3; -6.88702, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, 4.61594, -5.33259, 10.5905, -2.29767, -11.3725, 6.69466, -15.3171, -4.28978, -8.79818, 4.21196, 12.8742, -1.4205, 0.849833, -9.92329, 3.33532, ];
-126.327; 359.915; 60; -43.6376; [5.74565, -13.5234, -11.6466, -10.7048, -8.5997, 0.788486, -3.1875, -5.33259, 10.5905, 2.84119, -3.00548, 6.69466, -6.88778, 3.48322, -16.8671, 4.00374, -5.86875, -12.3149, -8.32292, -9.92329, 15.738, ]; -51.6475; 5.74565, -6.45475, -11.6466, -10.7048, -17.06, -5.86837, -7.61364, -5.7627, 10.5905, 2.84119, -11.3725, 6.69466, -15.3171, 3.48322, -8.79818, 4.00374, 12.8742, -1.4205, -8.32292, -9.92329, 3.33532, ]; -3418.77; -6.88702, -1.55884, -11.6466, -10.7048, -8.5997, -5.86837, -3.1875, -5.7627, 7.01135, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -8.79818, 4.21196, -5.86875, -12.3149, -8.32292, -9.67249, 15.738, ];
-93.9436; 153.145; 61; -40.8315; [5.74565, -6.45475, -11.6466, -11.7405, -8.5997, 0.788486, -3.1875, -17.5419, 7.01135, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.21196, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ]; -51.8116; 5.74565, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, 4.61594, -5.33259, 10.5905, 2.84119, -11.3725, 12.9678, 2.48924, -4.28978, -16.8671, 4.00374, -5.86875, 21.8592, -8.32292, -9.92329, 15.738, ]; -1184.33; 7.72089, 5.94369, 4.04263, -11.7405, 0.99056, -20.0438, -7.61364, -17.5419, 3.40222, -12.7962, -15.1667, 6.69466, 6.99115, -10.5726, 2.81466, -7.21686, 9.40179, 3.64401, -8.32292, -2.50152, 3.33532, ];
-93.4074; 164.152; 62; -40.8315; [5.74565, -6.45475, -11.6466, -11.7405, -8.5997, 0.788486, -3.1875, -17.5419, 7.01135, 2.84119, -11.3725, 12.9678, -6.88778, -4.28978, -16.8671, 4.21196, -5.86875, -1.4205, -8.32292, -9.92329, 15.738, ]; -50.8549; 5.74565, -6.45475, 11.6466, -10.7048, -17.06, -5.86837, -3.61448, -5.7627, -3.17822, -2.29767, -11.3725, -7.38427, -6.88778, -4.28978, 9.42234, 4.21196, -4.13536, -12.3149, 5.04279, -7.05946, -1.69293, ]; -1348.54; 5.74565, -13.5234, -11.6466, -10.7048, -17.06, -5.86837, -7.61364, -5.33259, 3.40222, -12.7962, -11.3725, 12.9678, -15.3171, -4.28978, -8.79818, 4.00374, -3.11024, -1.4205, -8.32292, -9.92329, 6.27476, ];
