E(fitness); sigma(fitness); Generation; fitness1; Genes(Scores(0,1),:); fitness50; Genes(Scores(49,1),:); fitness100; Genes(Scores(99,1),:);
-2789.85; 4737.45; 0; -41.5483; [-7.65803, 13.938, -19.6443, -12.7621, 8.87154, -5.00596, 6.18928, 8.72796, 7.48567, 2.21617, -9.61842, 1.19739, -2.95559, -8.66006, -8.76958, -7.44717, -1.84087, 4.57708, 6.51976, -21.2582, -19.6764, ]; -690.371; 6.62656, -15.5707, 1.58822, -9.01781, -0.0358516, -4.38164, 3.38944, 12.7159, -7.09202, 1.37622, -4.02561, 21.6503, 4.0043, 5.03792, 8.19101, -3.22835, -7.1189, 18.4162, 14.456, -15.9433, 8.92916, ]; -19249.5; 11.8397, 3.27863, 6.63712, 2.46938, 19.176, 6.07738, 2.41522, 11.2563, 3.39537, -7.67364, 4.04483, 3.32645, -9.16548, 3.61859, 10.8175, 7.37711, -15.9019, -5.27566, -4.39691, 8.02789, -5.33992, ];
-1478.27; 2843.34; 1; -43.3127; [-17.0341, 7.99124, -12.1329, -7.6573, -13.5485, 2.50156, 6.03201, -5.60065, 0.644876, 2.19613, -2.95742, 0.38087, -5.75486, 4.84306, 6.09301, -2.23121, -10.6526, -2.91822, -2.48865, -0.109921, 1.26477, ]; -423.351; -14.0752, -15.5707, 1.58822, -9.01781, -11.7621, -4.47849, -12.3923, 1.56392, -7.09202, 11.0764, -4.02561, 21.6503, 3.17327, 5.03792, 8.19101, -0.897746, -10.9872, 15.8131, -1.05829, -15.9433, 8.92916, ]; -17219.9; 8.40701, 2.52984, -3.02521, -1.94123, 0.239922, 5.53161, -0.768116, 4.10396, -8.19445, 17.5515, 19.6774, 0.984617, 1.63403, 3.64538, 3.45288, 23.6232, -0.356919, 8.01669, -2.23016, 9.91195, -24.9208, ];
-521.804; 789.706; 2; -43.3127; [-17.0341, 7.99124, -12.1329, -7.6573, -13.5485, 2.50156, 6.03201, -5.60065, 0.644876, 2.19613, -2.95742, 0.38087, -5.75486, 4.84306, 6.09301, -2.23121, -10.6526, -2.91822, -2.48865, -0.109921, 1.26477, ]; -148.923; 7.38428, -14.3282, 10.6236, -4.91709, -12.556, 6.36665, -2.63189, -7.84172, 12.9543, 12.7277, -6.46212, -11.575, 5.94639, 11.3589, -4.75913, -16.7784, -19.1661, -1.45736, -2.68572, -2.2883, 5.19719, ]; -4328.12; -17.0341, 7.99124, 4.02829, -7.6573, 0.239922, 2.50156, -13.8937, -5.60065, 0.644876, 2.19613, -2.95742, 0.984617, 1.63403, 4.84306, 10.5687, -9.32308, -0.356919, -2.91822, -2.48865, -0.109921, 1.26477, ];
-393.555; 1179.33; 3; -43.0876; [-14.0752, -9.81025, 9.01501, -4.91709, -13.5485, -0.385471, -12.3923, 6.736, -5.21617, 2.19613, -1.13055, -3.5347, 2.53972, -2.15016, 6.39041, -8.95035, -5.38268, -1.45736, -2.68572, -9.60846, -1.17252, ]; -94.7356; -6.88702, 1.02445, 4.96637, 1.84143, -1.32281, -16.7155, -13.8784, -5.33259, -5.30094, 9.73824, 7.36194, -7.85444, 11.0087, -2.10324, 9.42234, 4.21196, -1.59806, -9.13571, -0.0238956, -15.7819, -1.69293, ]; -9978.66; 7.38428, 8.75135, 10.6236, -9.62011, 13.8228, -4.53209, 3.3253, 1.15183, 1.05854, -3.26742, -6.46212, 0.38087, 2.48924, 3.72634, 12.6354, -2.44123, -19.1661, 15.8131, 1.5895, 0.370458, 4.32456, ];
-312.755; 856.613; 4; -43.0876; [-14.0752, -9.81025, 9.01501, -4.91709, -13.5485, -0.385471, -12.3923, 6.736, -5.21617, 2.19613, -1.13055, -3.5347, 2.53972, -2.15016, 6.39041, -8.95035, -5.38268, -1.45736, -2.68572, -9.60846, -1.17252, ]; -82.5714; 2.82789, -1.00763, 11.4501, -19.8043, -17.7905, -0.342566, -14.347, 5.25301, 10.137, -12.6131, -8.10272, -19.8411, 4.52691, -8.05786, -6.54034, 19.305, 2.21996, -1.7675, 8.82802, 11.902, 1.93105, ]; -6712.58; -14.0752, 3.2775, 9.01501, -9.62011, 2.92495, 10.4071, 16.0495, 3.50348, -5.21617, 10.5164, -1.71382, -6.70519, -0.958177, -2.15016, 6.39041, -2.44123, 10.4127, 11.8347, -5.01059, 0.370458, 1.93105, ];
-253.391; 557.206; 5; -39.8928; [7.72089, -0.991403, -8.33973, -7.78204, -4.84411, -20.0438, -5.46606, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, -0.958177, 2.37553, 2.81466, -5.51456, -3.11024, 3.64401, -2.5033, -2.50152, 1.93105, ]; -72.2575; 16.7539, -2.55347, 11.4501, 3.57191, 18.0272, -8.59917, -3.61448, -8.53354, -7.16563, 4.49574, -3.00548, -10.6655, -12.8201, 12.0897, -7.35215, 9.34425, -1.21995, 21.8592, 8.82802, -10.2958, -9.14648, ]; -4020.39; 7.68313, 7.99124, 11.4501, -4.91709, -12.556, -5.86837, -3.61448, 3.56405, 0.644876, -2.29767, 7.36194, 1.73332, -0.958177, 3.72634, 9.42234, -2.44123, 12.8742, -11.8347, 8.82802, 5.67122, 1.26477, ];
-224.726; 495.811; 6; -39.8928; [7.72089, -0.991403, -8.33973, -7.78204, -4.84411, -20.0438, -5.46606, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, -0.958177, 2.37553, 2.81466, -5.51456, -3.11024, 3.64401, -2.5033, -2.50152, 1.93105, ]; -65.3381; -1.46703, -1.00763, -11.6466, -19.8043, 3.12157, -0.342566, -14.347, 3.56405, 0.377917, -2.29767, -8.10272, -7.38427, -6.88778, -8.05786, -11.7841, 1.79634, -4.13536, 23.8194, 5.04279, 11.902, -1.69293, ]; -3360.31; -1.46703, -8.23543, 9.01501, -5.00826, -17.06, 2.5746, -12.3923, 3.56405, -5.21617, -2.29767, 7.36194, 19.1681, -6.88778, 2.37553, 2.42528, 1.79634, 0.107248, 5.75974, 5.04279, -4.68847, -1.69293, ];
-125.722; 178.744; 7; -39.8928; [7.72089, -0.991403, -8.33973, -7.78204, -4.84411, -20.0438, -5.46606, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, -0.958177, 2.37553, 2.81466, -5.51456, -3.11024, 3.64401, -2.5033, -2.50152, 1.93105, ]; -60.1296; -6.41925, -0.991403, -8.33973, -7.78204, 4.76851, 14.5809, -5.46606, -13.6831, -5.21617, -17.2724, -1.71382, 1.73332, -0.958177, 2.37553, -6.54034, -2.44123, 12.8742, -11.8347, -2.5033, 0.370458, 1.93105, ]; -1263; -3.77232, -1.55884, 4.04263, -7.6573, 2.92495, -10.4275, 6.03201, -22.9514, 2.32908, 4.49574, -8.6506, -10.6655, -0.958177, -10.5726, -7.35215, -2.23121, -1.21995, 11.0596, -1.05829, -4.68847, -9.14648, ];
-166.612; 302.726; 8; -39.8928; [7.72089, -0.991403, -8.33973, -7.78204, -4.84411, -20.0438, -5.46606, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, -0.958177, 2.37553, 2.81466, -5.51456, -3.11024, 3.64401, -2.5033, -2.50152, 1.93105, ]; -57.4021; -1.46703, -13.5234, -11.6466, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, -3.17822, -2.29767, 7.36194, -7.38427, -6.88778, 3.48322, 9.42234, 1.79634, -4.13536, 5.75974, 5.04279, -7.05946, -1.69293, ]; -1836.78; 7.68313, -1.55884, -12.1329, 11.2044, -1.32281, -2.11911, -3.61448, -22.9514, 14.4351, 2.19613, -15.1667, 10.4763, 11.0087, -10.5726, -7.35215, 4.21196, 7.74407, -1.45736, -1.05829, -9.67249, 3.33532, ];
-176.794; 353.383; 9; -39.8928; [7.72089, -0.991403, -8.33973, -7.78204, -4.84411, -20.0438, -5.46606, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, -0.958177, 2.37553, 2.81466, -5.51456, -3.11024, 3.64401, -2.5033, -2.50152, 1.93105, ]; -56.0525; -2.82018, -13.5234, 11.4501, -10.0758, -17.7905, -5.86837, -3.61448, 3.56405, -3.17822, -2.29767, -8.6506, -7.38427, -5.75486, 0.613509, -14.547, -3.5509, -4.13536, 5.75974, 8.82802, -14.4103, -9.14648, ]; -2529.87; -2.82018, 5.94369, 11.4501, -11.7405, -4.84411, -20.0438, -3.61448, 3.56405, -3.17822, -2.29767, -8.6506, -7.38427, 6.99115, -1.94341, 2.81466, -3.5509, -4.13536, 5.75974, 8.82802, -2.50152, -9.14648, ];
-518.517; 2039.51; 10; -39.8928; [7.72089, -0.991403, -8.33973, -7.78204, -4.84411, -20.0438, -5.46606, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, -0.958177, 2.37553, 2.81466, -5.51456, -3.11024, 3.64401, -2.5033, -2.50152, 1.93105, ]; -57.4021; -1.46703, -13.5234, -11.6466, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, -3.17822, -2.29767, 7.36194, -7.38427, -6.88778, 3.48322, 9.42234, 1.79634, -4.13536, 5.75974, 5.04279, -7.05946, -1.69293, ]; -18475.9; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, -10.4275, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 6.69466, -10.3069, -10.5726, -16.8671, -7.21686, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ];
-166.589; 371.409; 11; -42.5409; [2.67005, -1.55884, -12.1329, -5.26092, -17.06, -10.4275, 6.03201, -21.5752, 7.01135, 2.19613, 6.79135, 6.69466, 2.48924, -10.5726, -8.79818, -2.23121, 9.40179, -1.45736, 0.849833, -9.67249, -9.14648, ]; -57.4021; -1.46703, -13.5234, -11.6466, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, -3.17822, -2.29767, 7.36194, -7.38427, -6.88778, 3.48322, 9.42234, 1.79634, -4.13536, 5.75974, 5.04279, -7.05946, -1.69293, ]; -2863.89; -1.46703, -1.55884, -10.4399, 11.2044, -1.32281, -10.4275, 4.61594, -21.5752, 14.4351, -2.29767, 7.36194, -7.38427, -6.88778, 3.48322, -8.79818, 1.79634, 9.40179, 5.75974, 0.849833, -7.69947, -1.69293, ];
-531.12; 4082.51; 12; -42.5409; [2.67005, -1.55884, -12.1329, -5.26092, -17.06, -10.4275, 6.03201, -21.5752, 7.01135, 2.19613, 6.79135, 6.69466, 2.48924, -10.5726, -8.79818, -2.23121, 9.40179, -1.45736, 0.849833, -9.67249, -9.14648, ]; -55.265; 7.68313, -13.5234, -10.4399, 11.2044, -17.06, -4.47849, -12.3923, -5.7627, 10.5905, -2.29767, -15.1667, 12.9678, 2.48924, -10.5726, -16.8671, 1.79634, -4.13536, -1.45736, 5.04279, -9.67249, -1.69293, ]; -41094.9; 7.68313, -13.5234, -10.4399, -10.7048, -8.5997, -5.86837, -12.3923, -5.7627, 10.5905, -2.29767, -11.3725, 12.9678, -10.3069, -4.28978, -16.8671, 4.00374, -4.13536, -11.8347, -8.32292, -7.69947, -9.14648, ];
-123.199; 216.64; 13; -42.5409; [2.67005, -1.55884, -12.1329, -5.26092, -17.06, -10.4275, 6.03201, -21.5752, 7.01135, 2.19613, 6.79135, 6.69466, 2.48924, -10.5726, -8.79818, -2.23121, 9.40179, -1.45736, 0.849833, -9.67249, -9.14648, ]; -54.2426; -2.8069, -6.45475, -10.4399, -10.7048, -8.5997, 14.5809, -3.1875, -5.7627, 10.5905, 2.84119, -17.4384, 4.02664, -10.3069, -10.5726, -6.54034, 4.00374, 12.8742, -12.3149, -8.32292, -2.50152, 15.738, ]; -1419.91; -6.41925, -1.55884, -8.33973, -7.78204, 4.76851, -4.47849, -5.46606, -17.5419, -5.21617, -12.7962, -8.6506, 1.73332, -0.958177, 2.37553, 9.42854, -5.51456, -3.11024, 3.64401, -6.98406, 0.370458, 1.93105, ];
-561.27; 4082.93; 14; -41.0197; [-6.41925, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -12.3923, -5.7627, -3.17822, -2.29767, -11.3725, 12.9678, -10.3069, -4.28978, -16.8671, 4.00374, -4.13536, -1.45736, -8.32292, -9.67249, -9.14648, ]; -55.0172; -1.46703, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -12.3923, -21.5752, 7.01135, 2.19613, 6.79135, 12.9678, -10.3069, -10.5726, -16.8671, -2.23121, -4.13536, -11.8347, -8.32292, -9.67249, 15.738, ]; -41095.1; 2.67005, -13.5234, -10.4399, 11.2044, -17.06, -10.4275, 6.03201, -5.7627, 10.5905, 2.19613, -17.4384, 12.9678, -10.3069, -4.28978, -16.8671, 4.00374, 12.8742, -12.3149, 0.849833, -7.69947, 15.738, ];
-113.447; 195.704; 15; -41.0197; [-6.41925, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -12.3923, -5.7627, -3.17822, -2.29767, -11.3725, 12.9678, -10.3069, -4.28978, -16.8671, 4.00374, -4.13536, -1.45736, -8.32292, -9.67249, -9.14648, ]; -53.9441; -6.41925, -1.55884, -10.4399, -10.7048, -17.06, 0.788486, -3.1875, -5.7627, -3.17822, -12.6131, -15.1667, 12.9678, -10.3069, 3.72634, -16.8671, -7.21686, -4.13536, -1.45736, 8.82802, -7.05946, 1.18072, ]; -1419.91; -6.41925, -1.55884, -8.33973, -7.78204, 4.76851, -4.47849, -5.46606, -17.5419, -5.21617, -12.7962, -8.6506, 1.73332, -0.958177, 2.37553, 9.42854, -5.51456, -3.11024, 3.64401, -6.98406, 0.370458, 1.93105, ];
-1673.23; 15567.7; 16; -41.0197; [-6.41925, -13.5234, -10.4399, -10.7048, -17.06, 0.788486, -12.3923, -5.7627, -3.17822, -2.29767, -11.3725, 12.9678, -10.3069, -4.28978, -16.8671, 4.00374, -4.13536, -1.45736, -8.32292, -9.67249, -9.14648, ]; -54.0818; -6.41925, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, -3.1875, -5.7627, -5.21617, -12.6131, -15.1667, 12.9678, -15.3171, 3.48322, -16.8671, -2.23121, 12.8742, -12.3149, -8.32292, -9.67249, 15.738, ]; -156558; 2.67005, -13.5234, -10.4399, -10.0272, -17.06, -10.4275, -7.61364, -13.6831, 0.644876, 2.84119, -11.3725, 12.9678, -6.88778, -10.5726, -16.8671, 1.79634, -4.13536, 5.75974, 8.82802, -7.69947, 15.738, ];
-145.464; 309.813; 17; -42.5409; [2.67005, -1.55884, -12.1329, -5.26092, -17.06, -10.4275, 6.03201, -21.5752, 7.01135, 2.19613, 6.79135, 6.69466, 2.48924, -10.5726, -8.79818, -2.23121, 9.40179, -1.45736, 0.849833, -9.67249, -9.14648, ]; -52.2316; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, 0.788486, -3.1875, -5.7627, 10.5905, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -16.8671, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ]; -1795.72; -1.46703, -13.5234, -10.4399, -10.7048, -17.06, -10.4275, -7.61364, -13.6831, -3.17822, -12.6131, -11.3725, 12.9678, -6.88778, -10.5726, -16.8671, -7.21686, -4.13536, -1.45736, 5.04279, -7.05946, 1.18072, ];
-80.4524; 84.2535; 18; -42.5409; [2.67005, -1.55884, -12.1329, -5.26092, -17.06, -10.4275, 6.03201, -21.5752, 7.01135, 2.19613, 6.79135, 6.69466, 2.48924, -10.5726, -8.79818, -2.23121, 9.40179, -1.45736, 0.849833, -9.67249, -9.14648, ]; -52.8085; 5.74565, -6.45475, 4.04263, -10.7048, -8.5997, -20.0438, -3.1875, -5.7627, 3.40222, -12.7962, -17.4384, 12.9678, -15.3171, 3.48322, -16.8671, -5.51456, 11.5227, 3.64401, -8.32292, -2.50152, 6.27476, ]; -487.353; 2.67005, 7.99124, -10.4399, -5.26092, -8.5997, -4.47849, 6.03201, -5.7627, 10.5905, 2.84119, -2.95742, 12.9678, -10.3069, -10.5726, -16.8671, -7.21686, 11.5227, -1.7675, 8.82802, 9.67249, -1.69293, ];
-558.119; 4119.29; 19; -39.4312; [-6.41925, -13.5234, -11.6466, -10.7048, -8.5997, 0.788486, -7.61364, -13.6831, 10.5905, -2.29767, -15.1667, 12.9678, -6.88778, 3.72634, -16.8671, -2.23121, -4.13536, -1.45736, 5.04279, -7.05946, 15.738, ]; -53.8219; 5.74565, -13.5234, -10.4399, -7.6573, -8.5997, -4.47849, -3.1875, 3.56405, 10.5905, 2.84119, -15.1667, 12.9678, -6.88778, 3.48322, -16.8671, -2.23121, 12.8742, -1.45736, 8.82802, -9.67249, -9.14648, ]; -41093; -6.41925, -13.5234, -10.4399, -10.7048, -17.06, -5.86837, -3.1875, 3.56405, 10.5905, -12.6131, -11.3725, 12.9678, -6.88778, -10.5726, -16.8671, 4.00374, -4.13536, -1.45736, 5.04279, -7.05946, -1.69293, ];
-217.34; 714.559; 20; -42.5409; [2.67005, -1.55884, -12.1329, -5.26092, -17.06, -10.4275, 6.03201, -21.5752, 7.01135, 2.19613, 6.79135, 6.69466, 2.48924, -10.5726, -8.79818, -2.23121, 9.40179, -1.45736, 0.849833, -9.67249, -9.14648, ]; -53.6228; 5.74565, -6.45475, -10.4399, -7.6573, -17.06, -4.47849, -3.1875, -13.6831, 10.5905, 2.19613, 6.79135, 12.9678, -10.3069, 3.48322, -16.8671, -2.23121, 12.8742, -12.3149, 8.82802, -9.67249, 15.738, ]; -6124.17; 1.48494, -13.5234, -11.6466, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, -3.17822, -12.6131, -15.1667, 12.9678, -6.88778, -10.5726, -8.79818, 1.79634, 9.40179, -1.45736, 0.849833, -7.05946, -1.69293, ];
-200.338; 753.977; 21; -38.5479; [-1.46703, -1.55884, -10.4399, -10.7048, -17.06, -5.86837, -7.61364, -8.53354, -3.17822, -2.29767, -11.3725, 12.9678, -6.88778, 3.48322, -16.8671, -2.23121, -4.13536, -1.45736, 5.04279, -7.05946, -9.14648, ]; -53.1135; 5.74565, -1.55884, -10.4399, -11.7405, -17.06, 0.788486, -3.1875, -5.7627, -5.21617, -12.6131, -11.3725, 12.9678, 6.99115, 3.48322, -16.8671, 1.79634, -4.13536, -1.45736, -8.32292, -9.67249, -9.14648, ]; -7357.01; 2.67005, -13.5234, -10.4399, -11.7405, -17.06, 0.788486, -3.1875, -5.7627, 7.01135, -12.6131, -15.1667, 12.9678, 2.48924, 3.48322, -16.8671, -2.23121, 11.5227, -12.3149, 0.849833, -9.67249, 15.738, ];
-615.199; 3175.64; 22; -37.2967; [-6.41925, 7.99124, -10.4399, -10.0272, -17.06, -5.86837, 6.03201, -21.5752, -3.17822, -12.6131, -2.95742, 12.9678, -6.88778, 3.48322, -8.79818, -2.23121, -3.11024, -1.45736, 8.82802, -9.67249, 15.738, ]; -55.5807; 5.74565, -13.5234, -11.6466, -5.26092, -17.06, -17.138, 6.03201, -21.5752, -5.21617, -12.6131, 6.79135, 6.69466, 2.48924, 3.48322, -8.79818, 1.79634, 9.40179, -1.45736, 5.04279, -7.05946, -9.14648, ]; -30219.8; -6.41925, 7.99124, -12.1329, -5.26092, -8.5997, -17.138, -3.1875, -13.6831, -5.21617, -12.6131, -2.95742, -7.38427, -10.3069, -10.5726, -8.79818, 4.00374, -4.13536, -11.8347, 5.04279, -9.67249, 15.738, ];
-421.178; 2566.44; 23; -37.2967; [-6.41925, 7.99124, -10.4399, -10.0272, -17.06, -5.86837, 6.03201, -21.5752, -3.17822, -12.6131, -2.95742, 12.9678, -6.88778, 3.48322, -8.79818, -2.23121, -3.11024, -1.45736, 8.82802, -9.67249, 15.738, ]; -55.6944; 7.72089, 5.94369, 3.34773, -11.7405, -4.84411, -20.0438, 1.44746, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, 6.99115, -1.94341, 2.81466, -5.51456, -3.11024, 3.64401, -13.521, -2.50152, 6.27476, ]; -25758.5; 5.74565, -13.5234, -10.4399, -10.0272, -17.06, -5.86837, -7.61364, 3.56405, -5.21617, -12.6131, -11.3725, 12.9678, -6.88778, 3.48322, -16.8671, 1.79634, -4.13536, -1.45736, 5.04279, -7.05946, -9.14648, ];
-104.587; 183.884; 24; -37.2967; [-6.41925, 7.99124, -10.4399, -10.0272, -17.06, -5.86837, 6.03201, -21.5752, -3.17822, -12.6131, -2.95742, 12.9678, -6.88778, 3.48322, -8.79818, -2.23121, -3.11024, -1.45736, 8.82802, -9.67249, 15.738, ]; -53.5137; -6.41925, -13.5234, -10.4399, -5.26092, -17.06, -10.4275, 6.03201, -21.5752, -3.17822, 2.84119, 7.36194, 12.9678, -15.3171, -10.5726, -8.79818, -2.23121, 9.40179, -1.4205, -8.32292, -9.67249, -1.69293, ]; -1354.45; -1.46703, 7.99124, -12.1329, -5.26092, -17.06, -4.47849, -3.1875, -13.6831, -5.21617, -12.6131, -11.3725, -7.38427, -6.88778, 3.48322, -8.79818, 4.00374, 12.8742, -1.45736, -8.32292, -9.67249, 15.738, ];
-399.663; 3001.88; 25; -37.2967; [-6.41925, 7.99124, -10.4399, -10.0272, -17.06, -5.86837, 6.03201, -21.5752, -3.17822, -12.6131, -2.95742, 12.9678, -6.88778, 3.48322, -8.79818, -2.23121, -3.11024, -1.45736, 8.82802, -9.67249, 15.738, ]; -53.6191; 2.67005, -13.5234, -12.1329, -10.7048, -17.06, -10.4275, 6.03201, -21.5752, 7.01135, 2.84119, 6.79135, 6.69466, 2.48924, -10.5726, -8.79818, 2.23121, 12.8742, -1.7675, -8.32292, -9.67249, -9.14648, ]; -30222.8; 2.67005, -13.5234, -10.4399, -7.6573, -8.5997, -4.47849, -3.1875, -8.53354, 10.5905, -12.6131, -11.3725, 12.9678, -10.3069, -10.5726, -16.8671, -2.23121, 11.5227, -11.8347, -8.32292, -7.69947, -9.14648, ];
-462.051; 3082.37; 26; -38.116; [2.67005, -6.45475, -10.4399, -10.7048, -8.5997, -4.47849, -3.1875, -8.53354, 10.5905, 2.84119, -11.3725, 12.9678, -10.3069, -10.5726, -16.8671, -2.23121, 11.5227, -1.4205, -8.32292, -7.69947, 15.738, ]; -53.2853; 5.74565, -6.45475, -10.4399, -5.26092, -8.5997, -5.86837, -3.1875, -5.7627, -5.21617, 2.84119, -11.3725, 12.9678, -15.3171, -4.28978, -8.79818, 4.00374, 11.5227, -1.4205, -8.32292, -9.92329, 15.738, ]; -30225.9; -6.41925, -1.55884, -12.1329, -5.26092, -17.06, -4.47849, -12.3923, -13.6831, -5.21617, -12.6131, -2.95742, -7.38427, -10.3069, -10.5726, -8.79818, 4.00374, 12.8742, -11.8347, 8.82802, -9.67249, 15.738, ];
-1869.82; 17764.1; 27; -30.0848; [5.74565, -1.55884, -10.4399, -5.26092, -17.06, -5.86837, 6.03201, -5.7627, -5.21617, 2.19613, -2.95742, 12.9678, -15.3171, -10.5726, -8.79818, -2.23121, 12.8742, -12.3149, -8.32292, 9.67249, -9.14648, ]; -52.8953; 2.67005, -1.55884, -12.1329, -10.7048, -17.06, -10.4275, 6.03201, -13.6831, 7.01135, 2.19613, 6.79135, 6.69466, -10.3069, -10.5726, -8.79818, -2.23121, 9.40179, -1.45736, 5.04279, -9.67249, -9.14648, ]; -178618; -6.41925, -13.5234, -10.4399, -5.26092, -17.06, -5.86837, -7.61364, -13.6831, 10.5905, 2.84119, -11.3725, 12.9678, -6.88778, -10.5726, -16.8671, -2.23121, 12.8742, -12.3149, 5.04279, 9.67249, -9.14648, ];
-106.216; 131.371; 28; -30.0848; [5.74565, -1.55884, -10.4399, -5.26092, -17.06, -5.86837, 6.03201, -5.7627, -5.21617, 2.19613, -2.95742, 12.9678, -15.3171, -10.5726, -8.79818, -2.23121, 12.8742, -12.3149, -8.32292, 9.67249, -9.14648, ]; -54.0233; 5.74565, -1.55884, -10.4399, -5.26092, -17.06, -5.86837, 6.03201, -5.7627, -3.17822, 2.84119, -2.95742, 12.9678, 2.48924, -10.5726, -8.79818, -2.23121, 12.8742, -12.3149, 8.82802, -9.67249, -9.14648, ]; -951.013; 5.74565, 7.99124, 4.96637, -3.64384, -1.32281, -2.11911, -21.4047, -8.53354, -3.17822, 6.83262, -11.3725, 10.4763, 2.48924, -2.10324, -16.8671, 4.21196, -5.86875, -9.13571, 0.849833, -15.7819, 3.33532, ];
-99.1732; 132.044; 29; -39.8254; [5.74565, -13.5234, -10.4399, -5.26092, -17.06, -5.86837, -7.61364, -5.7627, -3.17822, 2.84119, -2.95742, 12.9678, -6.88778, -10.5726, -16.8671, -2.23121, 12.8742, -1.7675, 8.82802, -9.67249, -9.14648, ]; -55.6944; 7.72089, 5.94369, 3.34773, -11.7405, -4.84411, -20.0438, 1.44746, -17.5419, 3.40222, -12.7962, -17.4384, 4.02664, 6.99115, -1.94341, 2.81466, -5.51456, -3.11024, 3.64401, -13.521, -2.50152, 6.27476, ]; -870.789; 2.67005, -1.55884, -12.1329, -5.26092, -17.06, -5.86837, -7.61364, -21.5752, -5.21617, 2.19613, -2.95742, 6.69466, -15.3171, 3.48322, -8.79818, -2.23121, -4.13536, -1.45736, 0.849833, -9.67249, -9.14648, ];
-95.3314; 135.927; 30; -39.8254; [5.74565, -13.5234, -10.4399, -5.26092, -17.06, -5.86837, -7.61364, -5.7627, -3.17822, 2.84119, -2.95742, 12.9678, -6.88778, -10.5726, -16.8671, -2.23121, 12.8742, -1.7675, 8.82802, -9.67249, -9.14648, ]; -52.9912; 5.74565, -6.45475, -10.4399, -10.7048, -8.5997, -5.86837, 6.03201, -8.53354, 10.5905, 2.19613, -11.3725, 12.9678, -10.3069, -4.28978, -8.79818, 4.00374, 9.40179, -1.4205, -8.32292, -7.69947, 15.738, ]; -948.562; -6.41925, -6.45475, -10.4399, -7.6573, -8.5997, -10.4275, 6.03201, -21.5752, 10.5905, 2.84119, -2.95742, 6.69466, -6.88778, 3.48322, -16.8671, -2.23121, 12.8742, -1.45736, 0.849833, -9.67249, -9.14648, ];
-100.298; 201.023; 31; -39.8254; [5.74565, -13.5234, -10.4399, -5.26092, -17.06, -5.86837, -7.61364, -5.7627, -3.17822, 2.84119, -2.95742, 12.9678, -6.88778, -10.5726, -16.8671, -2.23121, 12.8742, -1.7675, 8.82802, -9.67249, -9.14648, ]; -51.7872; 5.74565, -1.55884, -12.1329, -7.6573, -17.06, -10.4275, -7.61364, -5.7627, -3.17822, -2.29767, -2.95742, 6.69466, -2.48924, 3.48322, -16.8671, -2.23121, 12.8742, -1.45736, -7.91617, -9.67249, -9.14648, ]; -1609.07; 5.74565, 7.99124, -10.4399, -10.0272, -4.84411, -5.86837, -7.61364, 3.56405, -3.40222, -2.29767, 7.36194, -7.38427, 6.99115, 3.48322, 9.42234, 1.79634, -3.11024, 3.64401, 5.04279, -7.05946, -1.69293, ];
-1644.72; 15569.6; 32; -40.8647; [-6.41925, -13.5234, -10.4399, -5.26092, -8.5997, -5.86837, -7.61364, -5.7627, -3.17822, 2.19613, -2.95742, 12.9678, -6.88778, 3.48322, -8.79818, -2.23121, -4.13536, -11.8347, 0.849833, 9.67249, 15.738, ]; -51.6311; 5.74565, -6.45475, -10.4399, -10.7048, -1.32281, -10.4275, -7.61364, -5.7627, -5.21617, 2.84119, 6.79135, 6.69466, -15.3171, 3.48322, -8.79818, -2.23121, -4.13536, -1.7675, -7.91617, -7.69947, -9.14648, ]; -156559; -6.41925, -13.5234, -12.1329, -11.7405, -17.06, 0.788486, -7.61364, -13.6831, 3.40222, -12.6131, 6.79135, 6.69466, -15.3171, -10.5726, -16.8671, -5.51456, -3.11024, -12.3149, 0.849833, -9.67249, -9.14648, ];
